1.000000000000000000e+09,-2.000000000000000000e+01,-3.004286193847656250e+01
1.000000000000000000e+09,-3.000000000000000000e+01,-4.008775329589843750e+01
1.000000000000000000e+09,-4.000000000000000000e+01,-5.010000610351562500e+01
1.000000000000000000e+09,-5.000000000000000000e+01,-6.005905914306640625e+01
1.333333333333333254e+09,-2.000000000000000000e+01,-3.063447761535644531e+01
1.333333333333333254e+09,-3.000000000000000000e+01,-4.069709396362304688e+01
1.333333333333333254e+09,-4.000000000000000000e+01,-5.060853958129882812e+01
1.333333333333333254e+09,-5.000000000000000000e+01,-6.064057540893554688e+01
1.666666666666666508e+09,-2.000000000000000000e+01,-2.511511421203613281e+01
1.666666666666666508e+09,-3.000000000000000000e+01,-3.512547683715820312e+01
1.666666666666666508e+09,-4.000000000000000000e+01,-4.522230148315429688e+01
1.666666666666666508e+09,-5.000000000000000000e+01,-5.528057479858398438e+01
2.000000000000000000e+09,-2.000000000000000000e+01,-2.642960548400878906e+01
2.000000000000000000e+09,-3.000000000000000000e+01,-3.644073104858398438e+01
2.000000000000000000e+09,-4.000000000000000000e+01,-4.645815658569335938e+01
2.000000000000000000e+09,-5.000000000000000000e+01,-5.657049179077148438e+01
